"country","scenario","measure","n_implicates","estimate_nw","estimate_nwx","estimate_ratio","se_nw","se_nwx","se_ratio","ratio","ratio_se","ratio_se_delta_SUPERSEDED","ratio_ci_lo","ratio_ci_hi","paradox","paradox_robust","no_paradox_robust"
"AT_2023","baseline_3pct","atkinson05",5,0.423186049278165,0.425872796060527,0.994207930524653,0.0191034335149213,0.0262709732478361,0.0326376488846859,0.994207930524653,0.0326376488846859,0.0759580912023897,0.930238138710669,1.05817772233864,TRUE,FALSE,FALSE
"BE_2023","baseline_3pct","atkinson05",5,0.328994389898795,0.339428487690364,0.969259438066149,0.0225298748989584,0.0257350382782007,0.0160073655964064,0.969259438066149,0.0160073655964064,0.0990265378721452,0.937885001497192,1.00063387463511,TRUE,FALSE,FALSE
"CY_2023","baseline_3pct","atkinson05",5,0.30726717291181,0.325237444004957,0.944811228729587,0.0145829505587518,0.0170258791114989,0.0175988548552488,0.944811228729587,0.0175988548552488,0.0667562212714989,0.910317473213299,0.979304984245874,TRUE,TRUE,FALSE
"DE_2023","baseline_3pct","atkinson05",5,0.43198781385549,0.449729807127018,0.960568910684699,0.0186638114420694,0.0195601031586992,0.0095307049730309,0.960568910684699,0.0095307049730309,0.0588862347875692,0.941888728937559,0.97924909243184,TRUE,TRUE,FALSE
"EE_2023","baseline_3pct","atkinson05",5,0.370933440921204,0.383084503230057,0.968286387567639,0.0234843051715777,0.0241219234971035,0.00563493303718659,0.968286387567639,0.00563493303718659,0.086460782051494,0.957241918814753,0.979330856320525,TRUE,TRUE,FALSE
"ES_2023","baseline_3pct","atkinson05",5,0.38273965498881,0.383733443575404,0.997409046469265,0.0236023463654269,0.0295006265733424,0.029054098067883,0.997409046469265,0.029054098067883,0.0982993847082521,0.940463014256214,1.05435507868232,TRUE,FALSE,FALSE
"FR_2023","baseline_3pct","atkinson05",5,0.404220683594294,0.415383796228792,0.973125786956913,0.0173096039576567,0.018104343050196,0.00657441651474203,0.973125786956913,0.00657441651474203,0.0594591509695912,0.960239930588019,0.986011643325808,TRUE,TRUE,FALSE
"GR_2023","baseline_3pct","atkinson05",5,0.304609693004952,0.339741739876649,0.897967539012018,0.0115623254235923,0.0230341101516442,0.0440186881117067,0.897967539012018,0.0440186881117067,0.0696663210063423,0.811690910313073,0.984244167710963,TRUE,TRUE,FALSE
"HR_2023","baseline_3pct","atkinson05",5,0.246086567367481,0.264555174907097,0.930191833941869,0.0130882290621185,0.014777773854922,0.0160832581070692,0.930191833941869,0.0160832581070692,0.071744822741657,0.898668648052013,0.961715019831724,TRUE,TRUE,FALSE
"HU_2023","baseline_3pct","atkinson05",5,0.285713622014749,0.293694986896405,0.972825261824826,0.00742246710297098,0.00817602731389306,0.0063851036384608,0.972825261824826,0.0063851036384608,0.0370424437978267,0.960310458693443,0.98534006495621,TRUE,TRUE,FALSE
"LT_2023","baseline_3pct","atkinson05",5,0.315905983636608,0.345069478385767,0.915501907710357,0.0558858361314871,0.0625052478815574,0.0125493088639887,0.915501907710357,0.0125493088639887,0.231794903443656,0.890905262336939,0.940098553083775,TRUE,TRUE,FALSE
"LU_2023","baseline_3pct","atkinson05",5,0.339082482637648,0.350512011971144,0.967411507227418,0.0208335109407183,0.0237885513471632,0.0163043096830734,0.967411507227418,0.0163043096830734,0.0885628266411715,0.935455060248594,0.999367954206242,TRUE,TRUE,FALSE
"LV_2023","baseline_3pct","atkinson05",5,0.406331121490444,0.412782615603426,0.984428415474425,0.0516847107671192,0.0545818289739972,0.0124970593137077,0.984428415474425,0.0124970593137077,0.180609805705865,0.959934179219558,1.00892265172929,TRUE,FALSE,FALSE
"MT_2023","baseline_3pct","atkinson05",5,0.250925456060367,0.256724125545946,0.977412837717346,0.0402272024402342,0.032111250146463,0.0393635974782805,0.977412837717346,0.0393635974782805,0.198744852575503,0.900260186659917,1.05456548877478,TRUE,FALSE,FALSE
"NL_2023","baseline_3pct","atkinson05",5,0.354767672398782,0.353080545158887,1.00479333090388,0.00985491661514092,0.0102349787179974,0.00681069699978494,1.00479333090388,0.00681069699978494,0.0403406906306697,0.991444364784306,1.01814229702346,FALSE,FALSE,FALSE
"PT_2023","baseline_3pct","atkinson05",5,0.36164570318288,0.367669949034385,0.983645174709459,0.0107289831468639,0.012102304843101,0.00856664498513094,0.983645174709459,0.00856664498513094,0.0435866351977405,0.966854550538602,1.00043579888032,TRUE,FALSE,FALSE
"SI_2023","baseline_3pct","atkinson05",5,0.28811021967359,0.329110546886907,0.875792976624357,0.0249098732166864,0.0314068264683182,0.0173188225491153,0.875792976624357,0.0173188225491153,0.112728990069576,0.841848084428091,0.909737868820623,TRUE,TRUE,FALSE
"SK_2023","baseline_3pct","atkinson05",5,0.19730827558033,0.230525958035157,0.85597087608829,0.011239570480954,0.0136789059738518,0.0185390507069905,0.85597087608829,0.0185390507069905,0.0704026945870405,0.819634336702588,0.892307415473991,TRUE,TRUE,FALSE
